Site Name ,SANT-ANGELO-10M
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,13340


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

137,12/09/2023 , 20:15:00,0,0
138,12/09/2023 , 20:30:00,0,0
139,12/09/2023 , 20:45:00,0,0
140,12/09/2023 , 21:00:00,0,0
141,12/09/2023 , 21:15:00,0,0
142,12/09/2023 , 21:30:00,0,0
143,12/09/2023 , 21:45:00,0,0
144,12/09/2023 , 22:00:00,0,0
145,12/09/2023 , 22:15:00,0,0
146,12/09/2023 , 22:30:00,0,0
147,12/09/2023 , 22:45:00,0,0
148,12/09/2023 , 23:00:00,0,0
149,12/09/2023 , 23:15:00,0,0
150,12/09/2023 , 23:30:00,0,0
151,12/09/2023 , 23:45:00,0,0
152,12/09/2023 , 24:00:00,0,0
153,13/09/2023 , 00:15:00,0,0
154,13/09/2023 , 00:30:00,0,0
155,13/09/2023 , 00:45:00,0,0
156,13/09/2023 , 01:00:00,0,0
157,13/09/2023 , 01:15:00,0,0
158,13/09/2023 , 01:30:00,0,0
159,13/09/2023 , 01:45:00,0,0
160,13/09/2023 , 02:00:00,0,0
161,13/09/2023 , 02:15:00,0,0
162,13/09/2023 , 02:30:00,0,0
163,13/09/2023 , 02:45:00,0,0
164,13/09/2023 , 03:00:00,0,0
165,13/09/2023 , 03:15:00,0,0
166,13/09/2023 , 03:30:00,0,0
167,13/09/2023 , 03:45:00,0,0
168,13/09/2023 , 04:00:00,0,0
169,13/09/2023 , 04:15:00,0,0
170,13/09/2023 , 04:30:00,0,0
171,13/09/2023 , 04:45:00,0,0
172,13/09/2023 , 05:00:00,0,0
173,13/09/2023 , 05:15:00,0,0
174,13/09/2023 , 05:30:00,0,0
175,13/09/2023 , 05:45:00,0,0
176,13/09/2023 , 06:00:00,0,0
177,13/09/2023 , 06:15:00,0,0
178,13/09/2023 , 06:30:00,0,0
179,13/09/2023 , 06:45:00,2,0.12
180,13/09/2023 , 07:00:00,31,1.92
181,13/09/2023 , 07:15:00,76,4.71
182,13/09/2023 , 07:30:00,101,6.26
183,13/09/2023 , 07:45:00,128,7.93
184,13/09/2023 , 08:00:00,180,11.16
185,13/09/2023 , 08:15:00,233,14.44
186,13/09/2023 , 08:30:00,258,15.99
187,13/09/2023 , 08:45:00,326,20.21
188,13/09/2023 , 09:00:00,382,23.68
189,13/09/2023 , 09:15:00,390,24.18
190,13/09/2023 , 09:30:00,374,23.18
191,13/09/2023 , 09:45:00,441,27.34
192,13/09/2023 , 10:00:00,608,37.69
193,13/09/2023 , 10:15:00,612,37.94
194,13/09/2023 , 10:30:00,660,40.91
195,13/09/2023 , 10:45:00,767,47.55
196,13/09/2023 , 11:00:00,839,52.01
197,13/09/2023 , 11:15:00,861,53.37
198,13/09/2023 , 11:30:00,970,60.13
199,13/09/2023 , 11:45:00,1248,77.36
200,13/09/2023 , 12:00:00,1513,93.79
201,13/09/2023 , 12:15:00,2212,137.12
202,13/09/2023 , 12:30:00,3301,204.63
203,13/09/2023 , 12:45:00,3618,224.28
204,13/09/2023 , 13:00:00,4029,249.76
205,13/09/2023 , 13:15:00,3163,196.07
206,13/09/2023 , 13:30:00,2381,147.6
207,13/09/2023 , 13:45:00,2928,181.51
208,13/09/2023 , 14:00:00,3696,229.12
209,13/09/2023 , 14:15:00,2956,183.24
210,13/09/2023 , 14:30:00,3105,192.48
211,13/09/2023 , 14:45:00,2987,185.16
212,13/09/2023 , 15:00:00,2872,178.04
213,13/09/2023 , 15:15:00,2169,134.46
214,13/09/2023 , 15:30:00,1319,81.76
215,13/09/2023 , 15:45:00,1430,88.65
216,13/09/2023 , 16:00:00,939,58.21
217,13/09/2023 , 16:15:00,1128,69.92
218,13/09/2023 , 16:30:00,1279,79.29
219,13/09/2023 , 16:45:00,1117,69.24
220,13/09/2023 , 17:00:00,962,59.63
221,13/09/2023 , 17:15:00,1061,65.77
222,13/09/2023 , 17:30:00,433,26.84
223,13/09/2023 , 17:45:00,565,35.02
224,13/09/2023 , 18:00:00,519,32.17
225,13/09/2023 , 18:15:00,325,20.15
226,13/09/2023 , 18:30:00,229,14.2
227,13/09/2023 , 18:45:00,124,7.69
228,13/09/2023 , 19:00:00,71,4.4
229,13/09/2023 , 19:15:00,24,1.49
230,13/09/2023 , 19:30:00,1,0.06
231,13/09/2023 , 19:45:00,0,0
232,13/09/2023 , 20:00:00,0,0
233,13/09/2023 , 20:15:00,0,0
234,13/09/2023 , 20:30:00,0,0
235,13/09/2023 , 20:45:00,0,0
236,13/09/2023 , 21:00:00,0,0
237,13/09/2023 , 21:15:00,0,0
238,13/09/2023 , 21:30:00,0,0
239,13/09/2023 , 21:45:00,0,0
240,13/09/2023 , 22:00:00,0,0
241,13/09/2023 , 22:15:00,0,0
242,13/09/2023 , 22:30:00,0,0
243,13/09/2023 , 22:45:00,0,0
244,13/09/2023 , 23:00:00,0,0
245,13/09/2023 , 23:15:00,0,0
246,13/09/2023 , 23:30:00,0,0
247,13/09/2023 , 23:45:00,0,0
248,13/09/2023 , 24:00:00,0,0
249,14/09/2023 , 00:15:00,0,0
250,14/09/2023 , 00:30:00,0,0
251,14/09/2023 , 00:45:00,0,0
252,14/09/2023 , 01:00:00,0,0
253,14/09/2023 , 01:15:00,0,0
254,14/09/2023 , 01:30:00,0,0
255,14/09/2023 , 01:45:00,0,0
256,14/09/2023 , 02:00:00,0,0
257,14/09/2023 , 02:15:00,0,0
258,14/09/2023 , 02:30:00,0,0
259,14/09/2023 , 02:45:00,0,0
260,14/09/2023 , 03:00:00,0,0
261,14/09/2023 , 03:15:00,0,0
262,14/09/2023 , 03:30:00,0,0
263,14/09/2023 , 03:45:00,0,0
264,14/09/2023 , 04:00:00,0,0
265,14/09/2023 , 04:15:00,0,0
266,14/09/2023 , 04:30:00,0,0
267,14/09/2023 , 04:45:00,0,0
268,14/09/2023 , 05:00:00,0,0
269,14/09/2023 , 05:15:00,0,0
270,14/09/2023 , 05:30:00,0,0
271,14/09/2023 , 05:45:00,0,0
272,14/09/2023 , 06:00:00,0,0
273,14/09/2023 , 06:15:00,0,0
274,14/09/2023 , 06:30:00,0,0
275,14/09/2023 , 06:45:00,0,0
276,14/09/2023 , 07:00:00,12,0.74
277,14/09/2023 , 07:15:00,44,2.73
278,14/09/2023 , 07:30:00,88,5.46
279,14/09/2023 , 07:45:00,148,9.17
280,14/09/2023 , 08:00:00,144,8.93
281,14/09/2023 , 08:15:00,204,12.65
282,14/09/2023 , 08:30:00,314,19.46
283,14/09/2023 , 08:45:00,454,28.14
284,14/09/2023 , 09:00:00,495,30.69
285,14/09/2023 , 09:15:00,557,34.53
286,14/09/2023 , 09:30:00,708,43.89
287,14/09/2023 , 09:45:00,843,52.26
288,14/09/2023 , 10:00:00,954,59.14
289,14/09/2023 , 10:15:00,953,59.08
290,14/09/2023 , 10:30:00,1007,62.42
291,14/09/2023 , 10:45:00,1117,69.24
292,14/09/2023 , 11:00:00,906,56.16
293,14/09/2023 , 11:15:00,1248,77.36
294,14/09/2023 , 11:30:00,1671,103.59
295,14/09/2023 , 11:45:00,1778,110.22
296,14/09/2023 , 12:00:00,1661,102.97
297,14/09/2023 , 12:15:00,1872,116.05
298,14/09/2023 , 12:30:00,3116,193.16
299,14/09/2023 , 12:45:00,3029,187.77
300,14/09/2023 , 13:00:00,1827,113.26
301,14/09/2023 , 13:15:00,3333,206.61
302,14/09/2023 , 13:30:00,2451,151.94
303,14/09/2023 , 13:45:00,1560,96.7
304,14/09/2023 , 14:00:00,1250,77.49
305,14/09/2023 , 14:15:00,1152,71.41
306,14/09/2023 , 14:30:00,1058,65.59
307,14/09/2023 , 14:45:00,1155,71.6
308,14/09/2023 , 15:00:00,1368,84.8
309,14/09/2023 , 15:15:00,1481,91.81
310,14/09/2023 , 15:30:00,2521,156.28
311,14/09/2023 , 15:45:00,2148,133.15
312,14/09/2023 , 16:00:00,2188,135.63
313,14/09/2023 , 16:15:00,1893,117.35
314,14/09/2023 , 16:30:00,1319,81.76
315,14/09/2023 , 16:45:00,1093,67.76
316,14/09/2023 , 17:00:00,1530,94.84
317,14/09/2023 , 17:15:00,942,58.39
318,14/09/2023 , 17:30:00,699,43.33
319,14/09/2023 , 17:45:00,566,35.09
320,14/09/2023 , 18:00:00,380,23.56
321,14/09/2023 , 18:15:00,416,25.79
322,14/09/2023 , 18:30:00,226,14.01
323,14/09/2023 , 18:45:00,131,8.12
324,14/09/2023 , 19:00:00,68,4.22
325,14/09/2023 , 19:15:00,19,1.18
326,14/09/2023 , 19:30:00,1,0.06
327,14/09/2023 , 19:45:00,0,0
328,14/09/2023 , 20:00:00,0,0
329,14/09/2023 , 20:15:00,0,0
330,14/09/2023 , 20:30:00,0,0
331,14/09/2023 , 20:45:00,0,0
332,14/09/2023 , 21:00:00,0,0
333,14/09/2023 , 21:15:00,0,0
334,14/09/2023 , 21:30:00,0,0
335,14/09/2023 , 21:45:00,0,0
336,14/09/2023 , 22:00:00,0,0
337,14/09/2023 , 22:15:00,0,0
338,14/09/2023 , 22:30:00,0,0
339,14/09/2023 , 22:45:00,0,0
340,14/09/2023 , 23:00:00,0,0
341,14/09/2023 , 23:15:00,0,0
342,14/09/2023 , 23:30:00,0,0
343,14/09/2023 , 23:45:00,0,0
344,14/09/2023 , 24:00:00,0,0
345,15/09/2023 , 00:15:00,0,0
346,15/09/2023 , 00:30:00,0,0
347,15/09/2023 , 00:45:00,0,0
348,15/09/2023 , 01:00:00,0,0
349,15/09/2023 , 01:15:00,0,0
350,15/09/2023 , 01:30:00,0,0
351,15/09/2023 , 01:45:00,0,0
352,15/09/2023 , 02:00:00,0,0
353,15/09/2023 , 02:15:00,0,0
354,15/09/2023 , 02:30:00,0,0
355,15/09/2023 , 02:45:00,0,0
356,15/09/2023 , 03:00:00,0,0
357,15/09/2023 , 03:15:00,0,0
358,15/09/2023 , 03:30:00,0,0
359,15/09/2023 , 03:45:00,0,0
360,15/09/2023 , 04:00:00,0,0
361,15/09/2023 , 04:15:00,0,0
362,15/09/2023 , 04:30:00,0,0
363,15/09/2023 , 04:45:00,0,0
364,15/09/2023 , 05:00:00,0,0
365,15/09/2023 , 05:15:00,0,0
366,15/09/2023 , 05:30:00,0,0
367,15/09/2023 , 05:45:00,0,0
368,15/09/2023 , 06:00:00,0,0
369,15/09/2023 , 06:15:00,0,0
370,15/09/2023 , 06:30:00,0,0
371,15/09/2023 , 06:45:00,1,0.06
372,15/09/2023 , 07:00:00,23,1.43
373,15/09/2023 , 07:15:00,66,4.09
374,15/09/2023 , 07:30:00,144,8.93
375,15/09/2023 , 07:45:00,170,10.54
376,15/09/2023 , 08:00:00,149,9.24
377,15/09/2023 , 08:15:00,215,13.33
378,15/09/2023 , 08:30:00,407,25.23
379,15/09/2023 , 08:45:00,416,25.79
380,15/09/2023 , 09:00:00,434,26.9
381,15/09/2023 , 09:15:00,370,22.94
382,15/09/2023 , 09:30:00,451,27.96
383,15/09/2023 , 09:45:00,508,31.49
384,15/09/2023 , 10:00:00,508,31.49
385,15/09/2023 , 10:15:00,602,37.32
386,15/09/2023 , 10:30:00,708,43.89
387,15/09/2023 , 10:45:00,712,44.14
388,15/09/2023 , 11:00:00,917,56.84
389,15/09/2023 , 11:15:00,1038,64.35
390,15/09/2023 , 11:30:00,1007,62.42
391,15/09/2023 , 11:45:00,1116,69.18
392,15/09/2023 , 12:00:00,1674,103.77
393,15/09/2023 , 12:15:00,2473,153.3
394,15/09/2023 , 12:30:00,3378,209.4
395,15/09/2023 , 12:45:00,3761,233.14
396,15/09/2023 , 13:00:00,3887,240.96
397,15/09/2023 , 13:15:00,3226,199.98
398,15/09/2023 , 13:30:00,3603,223.35
399,15/09/2023 , 13:45:00,3735,231.53
400,15/09/2023 , 14:00:00,3676,227.88
401,15/09/2023 , 14:15:00,3394,210.39
402,15/09/2023 , 14:30:00,3158,195.76
403,15/09/2023 , 14:45:00,2779,172.27
404,15/09/2023 , 15:00:00,2515,155.91
405,15/09/2023 , 15:15:00,2470,153.12
406,15/09/2023 , 15:30:00,2314,143.45
407,15/09/2023 , 15:45:00,2029,125.78
