Scan No ,Date,Time,RAW VALUE ,CALIBRATED VALUE
1,11/9/23, 10:15:00,637,42.2
2,11/9/23, 10:30:00,691,45.8
3,11/9/23, 10:45:00,724,47.9
4,11/9/23, 11:00:00,771,51.1
5,11/9/23, 11:15:00,812,53.8
6,11/9/23, 11:30:00,854,56.5
7,11/9/23, 11:45:00,921,61
8,11/9/23, 12:00:00,1000,66.2
9,11/9/23, 12:15:00,1142,75.6
10,11/9/23, 12:30:00,1473,97.5
11,11/9/23, 12:45:00,1887,124.9
12,11/9/23, 13:00:00,2958,195.9
13,11/9/23, 13:15:00,6405,424.1
14,11/9/23, 13:30:00,10948,724.9
15,11/9/23, 13:45:00,13069,865.4
16,11/9/23, 14:00:00,13482,892.7
17,11/9/23, 14:15:00,13425,888.9
18,11/9/23, 14:30:00,13067,865.2
19,11/9/23, 14:45:00,12674,839.2
20,11/9/23, 15:00:00,12182,806.6
21,11/9/23, 15:15:00,11492,760.9
22,11/9/23, 15:30:00,10692,708
23,11/9/23, 15:45:00,10046,665.2
24,11/9/23, 16:00:00,9227,611
25,11/9/23, 16:15:00,8399,556.1
26,11/9/23, 16:30:00,7440,492.6
27,11/9/23, 16:45:00,6118,405.1
28,11/9/23, 17:00:00,5599,370.7
29,11/9/23, 17:15:00,4831,319.9
30,11/9/23, 17:30:00,4032,267
31,11/9/23, 17:45:00,3230,213.9
32,11/9/23, 18:00:00,2479,164.1
33,11/9/23, 18:15:00,1821,120.6
34,11/9/23, 18:30:00,1218,80.6
35,11/9/23, 18:45:00,569,37.7
36,11/9/23, 19:00:00,268,17.7
37,11/9/23, 19:15:00,132,8.7
38,11/9/23, 19:30:00,32,2.1
39,11/9/23, 19:45:00,1,0.1
40,11/9/23, 20:00:00,0,0
41,11/9/23, 20:15:00,0,0
42,11/9/23, 20:30:00,0,0
43,11/9/23, 20:45:00,0,0
44,11/9/23, 21:00:00,0,0
45,11/9/23, 21:15:00,0,0
46,11/9/23, 21:30:00,0,0
47,11/9/23, 21:45:00,0,0
48,11/9/23, 22:00:00,0,0
49,11/9/23, 22:15:00,0,0
50,11/9/23, 22:30:00,0,0
51,11/9/23, 22:45:00,0,0
52,11/9/23, 23:00:00,0,0
53,11/9/23, 23:15:00,0,0
54,11/9/23, 23:30:00,0,0
55,11/9/23, 23:45:00,0,0
56,11/9/23, 24:00:00,0,0
57,12/9/23, 00:15:00,0,0
58,12/9/23, 00:30:00,0,0
59,12/9/23, 00:45:00,0,0
60,12/9/23, 01:00:00,0,0
61,12/9/23, 01:15:00,0,0
62,12/9/23, 01:30:00,0,0
63,12/9/23, 01:45:00,0,0
64,12/9/23, 02:00:00,0,0
65,12/9/23, 02:15:00,0,0
66,12/9/23, 02:30:00,0,0
67,12/9/23, 02:45:00,0,0
68,12/9/23, 03:00:00,0,0
69,12/9/23, 03:15:00,0,0
70,12/9/23, 03:30:00,0,0
71,12/9/23, 03:45:00,0,0
72,12/9/23, 04:00:00,0,0
73,12/9/23, 04:15:00,0,0
74,12/9/23, 04:30:00,0,0
75,12/9/23, 04:45:00,0,0
76,12/9/23, 05:00:00,0,0
77,12/9/23, 05:15:00,0,0
78,12/9/23, 05:30:00,0,0
79,12/9/23, 05:45:00,0,0
80,12/9/23, 06:00:00,0,0
81,12/9/23, 06:15:00,0,0
82,12/9/23, 06:30:00,0,0
83,12/9/23, 06:45:00,19,1.3
84,12/9/23, 07:00:00,97,6.4
85,12/9/23, 07:15:00,195,12.9
86,12/9/23, 07:30:00,282,18.7
87,12/9/23, 07:45:00,347,23
88,12/9/23, 08:00:00,397,26.3
89,12/9/23, 08:15:00,433,28.7
90,12/9/23, 08:30:00,461,30.5
91,12/9/23, 08:45:00,481,31.8
92,12/9/23, 09:00:00,495,32.8
93,12/9/23, 09:15:00,510,33.8
94,12/9/23, 09:30:00,522,34.6
95,12/9/23, 09:45:00,537,35.6
96,12/9/23, 10:00:00,553,36.6
97,12/9/23, 10:15:00,565,37.4
98,12/9/23, 10:30:00,586,38.8
99,12/9/23, 10:45:00,628,41.6
100,12/9/23, 11:00:00,671,44.4
