Site Name ,SANT-ANGELO-2M
Site Number ,4
Logger ,Integrating Light Sensor
Logger Serial Number ,13341


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

136,12/09/2023 , 20:00:00,0,0
137,12/09/2023 , 20:15:00,0,0
138,12/09/2023 , 20:30:00,0,0
139,12/09/2023 , 20:45:00,0,0
140,12/09/2023 , 21:00:00,0,0
141,12/09/2023 , 21:15:00,0,0
142,12/09/2023 , 21:30:00,0,0
143,12/09/2023 , 21:45:00,0,0
144,12/09/2023 , 22:00:00,0,0
145,12/09/2023 , 22:15:00,0,0
146,12/09/2023 , 22:30:00,0,0
147,12/09/2023 , 22:45:00,0,0
148,12/09/2023 , 23:00:00,0,0
149,12/09/2023 , 23:15:00,0,0
150,12/09/2023 , 23:30:00,0,0
151,12/09/2023 , 23:45:00,0,0
152,12/09/2023 , 24:00:00,0,0
153,13/09/2023 , 00:15:00,0,0
154,13/09/2023 , 00:30:00,0,0
155,13/09/2023 , 00:45:00,0,0
156,13/09/2023 , 01:00:00,0,0
157,13/09/2023 , 01:15:00,0,0
158,13/09/2023 , 01:30:00,0,0
159,13/09/2023 , 01:45:00,0,0
160,13/09/2023 , 02:00:00,0,0
161,13/09/2023 , 02:15:00,0,0
162,13/09/2023 , 02:30:00,0,0
163,13/09/2023 , 02:45:00,0,0
164,13/09/2023 , 03:00:00,0,0
165,13/09/2023 , 03:15:00,0,0
166,13/09/2023 , 03:30:00,0,0
167,13/09/2023 , 03:45:00,0,0
168,13/09/2023 , 04:00:00,0,0
169,13/09/2023 , 04:15:00,0,0
170,13/09/2023 , 04:30:00,0,0
171,13/09/2023 , 04:45:00,0,0
172,13/09/2023 , 05:00:00,0,0
173,13/09/2023 , 05:15:00,0,0
174,13/09/2023 , 05:30:00,0,0
175,13/09/2023 , 05:45:00,0,0
176,13/09/2023 , 06:00:00,0,0
177,13/09/2023 , 06:15:00,0,0
178,13/09/2023 , 06:30:00,0,0
179,13/09/2023 , 06:45:00,19,1.11
180,13/09/2023 , 07:00:00,102,5.96
181,13/09/2023 , 07:15:00,226,13.2
182,13/09/2023 , 07:30:00,290,16.94
183,13/09/2023 , 07:45:00,362,21.15
184,13/09/2023 , 08:00:00,492,28.74
185,13/09/2023 , 08:15:00,589,34.41
186,13/09/2023 , 08:30:00,634,37.04
187,13/09/2023 , 08:45:00,803,46.91
188,13/09/2023 , 09:00:00,923,53.92
189,13/09/2023 , 09:15:00,905,52.87
190,13/09/2023 , 09:30:00,834,48.72
191,13/09/2023 , 09:45:00,1006,58.77
192,13/09/2023 , 10:00:00,1380,80.62
193,13/09/2023 , 10:15:00,1393,81.38
194,13/09/2023 , 10:30:00,1482,86.58
195,13/09/2023 , 10:45:00,2416,141.14
196,13/09/2023 , 11:00:00,6095,356.06
197,13/09/2023 , 11:15:00,7098,414.65
198,13/09/2023 , 11:30:00,7565,441.93
199,13/09/2023 , 11:45:00,7836,457.76
200,13/09/2023 , 12:00:00,7191,420.08
201,13/09/2023 , 12:15:00,6952,406.12
202,13/09/2023 , 12:30:00,7794,455.31
203,13/09/2023 , 12:45:00,8203,479.2
204,13/09/2023 , 13:00:00,8831,515.89
205,13/09/2023 , 13:15:00,7067,412.84
206,13/09/2023 , 13:30:00,5770,337.07
207,13/09/2023 , 13:45:00,7084,413.83
208,13/09/2023 , 14:00:00,8892,519.45
209,13/09/2023 , 14:15:00,7533,440.06
210,13/09/2023 , 14:30:00,8075,471.72
211,13/09/2023 , 14:45:00,7754,452.97
212,13/09/2023 , 15:00:00,7960,465.01
213,13/09/2023 , 15:15:00,6284,367.1
214,13/09/2023 , 15:30:00,3989,233.03
215,13/09/2023 , 15:45:00,4477,261.54
216,13/09/2023 , 16:00:00,2798,163.45
217,13/09/2023 , 16:15:00,3458,202.01
218,13/09/2023 , 16:30:00,4195,245.06
219,13/09/2023 , 16:45:00,4121,240.74
220,13/09/2023 , 17:00:00,3551,207.44
221,13/09/2023 , 17:15:00,4474,261.36
222,13/09/2023 , 17:30:00,1735,101.36
223,13/09/2023 , 17:45:00,2351,137.34
224,13/09/2023 , 18:00:00,2437,142.36
225,13/09/2023 , 18:15:00,1580,92.3
226,13/09/2023 , 18:30:00,1019,59.53
227,13/09/2023 , 18:45:00,459,26.81
228,13/09/2023 , 19:00:00,242,14.14
229,13/09/2023 , 19:15:00,88,5.14
230,13/09/2023 , 19:30:00,12,0.7
231,13/09/2023 , 19:45:00,0,0
232,13/09/2023 , 20:00:00,0,0
233,13/09/2023 , 20:15:00,0,0
234,13/09/2023 , 20:30:00,0,0
235,13/09/2023 , 20:45:00,0,0
236,13/09/2023 , 21:00:00,0,0
237,13/09/2023 , 21:15:00,0,0
238,13/09/2023 , 21:30:00,0,0
239,13/09/2023 , 21:45:00,0,0
240,13/09/2023 , 22:00:00,0,0
241,13/09/2023 , 22:15:00,0,0
242,13/09/2023 , 22:30:00,0,0
243,13/09/2023 , 22:45:00,0,0
244,13/09/2023 , 23:00:00,0,0
245,13/09/2023 , 23:15:00,0,0
246,13/09/2023 , 23:30:00,0,0
247,13/09/2023 , 23:45:00,0,0
248,13/09/2023 , 24:00:00,0,0
249,14/09/2023 , 00:15:00,0,0
250,14/09/2023 , 00:30:00,0,0
251,14/09/2023 , 00:45:00,0,0
252,14/09/2023 , 01:00:00,0,0
