Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

139,21/06/2023 , 19:35:00,0,0
140,21/06/2023 , 19:40:00,0,0
141,21/06/2023 , 19:45:00,0,0
142,21/06/2023 , 19:50:00,0,0
143,21/06/2023 , 19:55:00,0,0
144,21/06/2023 , 20:00:00,0,0
145,21/06/2023 , 20:05:00,0,0
146,21/06/2023 , 20:10:00,0,0
147,21/06/2023 , 20:15:00,0,0
148,21/06/2023 , 20:20:00,0,0
149,21/06/2023 , 20:25:00,0,0
150,21/06/2023 , 20:30:00,0,0
151,21/06/2023 , 20:35:00,0,0
152,21/06/2023 , 20:40:00,0,0
153,21/06/2023 , 20:45:00,0,0
154,21/06/2023 , 20:50:00,0,0
155,21/06/2023 , 20:55:00,0,0
156,21/06/2023 , 21:00:00,0,0
157,21/06/2023 , 21:05:00,0,0
158,21/06/2023 , 21:10:00,0,0
159,21/06/2023 , 21:15:00,0,0
160,21/06/2023 , 21:20:00,0,0
161,21/06/2023 , 21:25:00,0,0
162,21/06/2023 , 21:30:00,0,0
163,21/06/2023 , 21:35:00,0,0
164,21/06/2023 , 21:40:00,0,0
165,21/06/2023 , 21:45:00,0,0
166,21/06/2023 , 21:50:00,0,0
167,21/06/2023 , 21:55:00,0,0
168,21/06/2023 , 22:00:00,0,0
169,21/06/2023 , 22:05:00,0,0
170,21/06/2023 , 22:10:00,0,0
171,21/06/2023 , 22:15:00,0,0
172,21/06/2023 , 22:20:00,0,0
173,21/06/2023 , 22:25:00,0,0
174,21/06/2023 , 22:30:00,0,0
175,21/06/2023 , 22:35:00,0,0
176,21/06/2023 , 22:40:00,0,0
177,21/06/2023 , 22:45:00,0,0
178,21/06/2023 , 22:50:00,0,0
179,21/06/2023 , 22:55:00,0,0
180,21/06/2023 , 23:00:00,0,0
181,21/06/2023 , 23:05:00,0,0
182,21/06/2023 , 23:10:00,0,0
183,21/06/2023 , 23:15:00,0,0
184,21/06/2023 , 23:20:00,0,0
185,21/06/2023 , 23:25:00,0,0
186,21/06/2023 , 23:30:00,0,0
187,21/06/2023 , 23:35:00,0,0
188,21/06/2023 , 23:40:00,0,0
189,21/06/2023 , 23:45:00,0,0
190,21/06/2023 , 23:50:00,0,0
191,21/06/2023 , 23:55:00,0,0
192,21/06/2023 , 24:00:00,0,0
193,22/06/2023 , 00:05:00,0,0
194,22/06/2023 , 00:10:00,0,0
195,22/06/2023 , 00:15:00,0,0
196,22/06/2023 , 00:20:00,0,0
197,22/06/2023 , 00:25:00,0,0
198,22/06/2023 , 00:30:00,0,0
199,22/06/2023 , 00:35:00,0,0
200,22/06/2023 , 00:40:00,0,0
201,22/06/2023 , 00:45:00,0,0
202,22/06/2023 , 00:50:00,0,0
203,22/06/2023 , 00:55:00,0,0
204,22/06/2023 , 01:00:00,0,0
205,22/06/2023 , 01:05:00,0,0
206,22/06/2023 , 01:10:00,0,0
207,22/06/2023 , 01:15:00,0,0
208,22/06/2023 , 01:20:00,0,0
209,22/06/2023 , 01:25:00,0,0
210,22/06/2023 , 01:30:00,0,0
211,22/06/2023 , 01:35:00,0,0
212,22/06/2023 , 01:40:00,0,0
213,22/06/2023 , 01:45:00,0,0
214,22/06/2023 , 01:50:00,0,0
215,22/06/2023 , 01:55:00,0,0
216,22/06/2023 , 02:00:00,0,0
217,22/06/2023 , 02:05:00,0,0
218,22/06/2023 , 02:10:00,0,0
219,22/06/2023 , 02:15:00,0,0
220,22/06/2023 , 02:20:00,0,0
