Site Name ,CHIANE-AMBIENT
Site Number ,2
Logger ,Integrating Light Sensor
Logger Serial Number ,13339


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

105,19/09/2023 , 16:45:00,0,0
106,19/09/2023 , 16:50:00,0,0
107,19/09/2023 , 16:55:00,0,0
108,19/09/2023 , 17:00:00,0,0
109,19/09/2023 , 17:05:00,0,0
110,19/09/2023 , 17:10:00,0,0
111,19/09/2023 , 17:15:00,0,0
112,19/09/2023 , 17:20:00,0,0
113,19/09/2023 , 17:25:00,0,0
114,19/09/2023 , 17:30:00,0,0
115,19/09/2023 , 17:35:00,0,0
116,19/09/2023 , 17:40:00,0,0
117,19/09/2023 , 17:45:00,0,0
118,19/09/2023 , 17:50:00,0,0
119,19/09/2023 , 17:55:00,0,0
120,19/09/2023 , 18:00:00,0,0
121,19/09/2023 , 18:05:00,0,0
122,19/09/2023 , 18:10:00,0,0
123,19/09/2023 , 18:15:00,0,0
124,19/09/2023 , 18:20:00,0,0
125,19/09/2023 , 18:25:00,0,0
126,19/09/2023 , 18:30:00,0,0
127,19/09/2023 , 18:35:00,0,0
128,19/09/2023 , 18:40:00,0,0
129,19/09/2023 , 18:45:00,0,0
130,19/09/2023 , 18:50:00,0,0
131,19/09/2023 , 18:55:00,0,0
132,19/09/2023 , 19:00:00,0,0
133,19/09/2023 , 19:05:00,0,0
134,19/09/2023 , 19:10:00,0,0
135,19/09/2023 , 19:15:00,0,0
136,19/09/2023 , 19:20:00,0,0
137,19/09/2023 , 19:25:00,0,0
138,19/09/2023 , 19:30:00,0,0
139,19/09/2023 , 19:35:00,0,0
140,19/09/2023 , 19:40:00,0,0
141,19/09/2023 , 19:45:00,0,0
142,19/09/2023 , 19:50:00,0,0
143,19/09/2023 , 19:55:00,0,0
144,19/09/2023 , 20:00:00,0,0
145,19/09/2023 , 20:05:00,0,0
146,19/09/2023 , 20:10:00,0,0
147,19/09/2023 , 20:15:00,0,0
