Site Name ,GROTTA-MAGO-2M
Site Number ,7
Logger ,Integrating Light Sensor
Logger Serial Number ,13350


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

372,20/09/2023 , 15:00:00,3,0.2
373,20/09/2023 , 15:05:00,3,0.2
374,20/09/2023 , 15:10:00,3,0.2
375,20/09/2023 , 15:15:00,3,0.2
376,20/09/2023 , 15:20:00,3,0.2
377,20/09/2023 , 15:25:00,3,0.2
378,20/09/2023 , 15:30:00,4,0.3
379,20/09/2023 , 15:35:00,3,0.2
380,20/09/2023 , 15:40:00,4,0.3
381,20/09/2023 , 15:45:00,4,0.3
382,20/09/2023 , 15:50:00,2,0.1
383,20/09/2023 , 15:55:00,3,0.2
