Site Name ,GROTTA-MAGO-2M
Site Number ,7
Logger ,Integrating Light Sensor
Logger Serial Number ,13350


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

139,19/09/2023 , 19:35:00,0,0
140,19/09/2023 , 19:40:00,0,0
141,19/09/2023 , 19:45:00,0,0
142,19/09/2023 , 19:50:00,0,0
143,19/09/2023 , 19:55:00,0,0
144,19/09/2023 , 20:00:00,0,0
145,19/09/2023 , 20:05:00,0,0
146,19/09/2023 , 20:10:00,0,0
147,19/09/2023 , 20:15:00,0,0
148,19/09/2023 , 20:20:00,0,0
149,19/09/2023 , 20:25:00,0,0
150,19/09/2023 , 20:30:00,0,0
151,19/09/2023 , 20:35:00,0,0
152,19/09/2023 , 20:40:00,0,0
153,19/09/2023 , 20:45:00,0,0
154,19/09/2023 , 20:50:00,0,0
155,19/09/2023 , 20:55:00,0,0
156,19/09/2023 , 21:00:00,0,0
157,19/09/2023 , 21:05:00,0,0
158,19/09/2023 , 21:10:00,0,0
159,19/09/2023 , 21:15:00,0,0
160,19/09/2023 , 21:20:00,0,0
161,19/09/2023 , 21:25:00,0,0
162,19/09/2023 , 21:30:00,0,0
163,19/09/2023 , 21:35:00,0,0
164,19/09/2023 , 21:40:00,0,0
165,19/09/2023 , 21:45:00,0,0
166,19/09/2023 , 21:50:00,0,0
167,19/09/2023 , 21:55:00,0,0
168,19/09/2023 , 22:00:00,0,0
169,19/09/2023 , 22:05:00,0,0
170,19/09/2023 , 22:10:00,0,0
171,19/09/2023 , 22:15:00,0,0
172,19/09/2023 , 22:20:00,0,0
173,19/09/2023 , 22:25:00,0,0
174,19/09/2023 , 22:30:00,0,0
175,19/09/2023 , 22:35:00,0,0
176,19/09/2023 , 22:40:00,0,0
177,19/09/2023 , 22:45:00,0,0
178,19/09/2023 , 22:50:00,0,0
179,19/09/2023 , 22:55:00,0,0
180,19/09/2023 , 23:00:00,0,0
181,19/09/2023 , 23:05:00,0,0
182,19/09/2023 , 23:10:00,0,0
183,19/09/2023 , 23:15:00,0,0
184,19/09/2023 , 23:20:00,0,0
185,19/09/2023 , 23:25:00,0,0
186,19/09/2023 , 23:30:00,0,0
187,19/09/2023 , 23:35:00,0,0
188,19/09/2023 , 23:40:00,0,0
189,19/09/2023 , 23:45:00,0,0
190,19/09/2023 , 23:50:00,0,0
191,19/09/2023 , 23:55:00,0,0
192,19/09/2023 , 24:00:00,0,0
193,20/09/2023 , 00:05:00,0,0
194,20/09/2023 , 00:10:00,0,0
195,20/09/2023 , 00:15:00,0,0
196,20/09/2023 , 00:20:00,0,0
197,20/09/2023 , 00:25:00,0,0
198,20/09/2023 , 00:30:00,0,0
199,20/09/2023 , 00:35:00,0,0
200,20/09/2023 , 00:40:00,0,0
201,20/09/2023 , 00:45:00,0,0
202,20/09/2023 , 00:50:00,0,0
203,20/09/2023 , 00:55:00,0,0
204,20/09/2023 , 01:00:00,0,0
205,20/09/2023 , 01:05:00,0,0
206,20/09/2023 , 01:10:00,0,0
207,20/09/2023 , 01:15:00,0,0
208,20/09/2023 , 01:20:00,0,0
209,20/09/2023 , 01:25:00,0,0
210,20/09/2023 , 01:30:00,0,0
211,20/09/2023 , 01:35:00,0,0
212,20/09/2023 , 01:40:00,0,0
213,20/09/2023 , 01:45:00,0,0
214,20/09/2023 , 01:50:00,0,0
215,20/09/2023 , 01:55:00,0,0
216,20/09/2023 , 02:00:00,0,0
217,20/09/2023 , 02:05:00,0,0
218,20/09/2023 , 02:10:00,0,0
219,20/09/2023 , 02:15:00,0,0
220,20/09/2023 , 02:20:00,0,0
221,20/09/2023 , 02:25:00,0,0
222,20/09/2023 , 02:30:00,0,0
223,20/09/2023 , 02:35:00,0,0
224,20/09/2023 , 02:40:00,0,0
225,20/09/2023 , 02:45:00,0,0
226,20/09/2023 , 02:50:00,0,0
227,20/09/2023 , 02:55:00,0,0
228,20/09/2023 , 03:00:00,0,0
229,20/09/2023 , 03:05:00,0,0
230,20/09/2023 , 03:10:00,0,0
231,20/09/2023 , 03:15:00,0,0
232,20/09/2023 , 03:20:00,0,0
233,20/09/2023 , 03:25:00,0,0
234,20/09/2023 , 03:30:00,0,0
235,20/09/2023 , 03:35:00,0,0
236,20/09/2023 , 03:40:00,0,0
237,20/09/2023 , 03:45:00,0,0
238,20/09/2023 , 03:50:00,0,0
239,20/09/2023 , 03:55:00,0,0
240,20/09/2023 , 04:00:00,0,0
241,20/09/2023 , 04:05:00,0,0
242,20/09/2023 , 04:10:00,0,0
243,20/09/2023 , 04:15:00,0,0
244,20/09/2023 , 04:20:00,0,0
245,20/09/2023 , 04:25:00,0,0
246,20/09/2023 , 04:30:00,0,0
247,20/09/2023 , 04:35:00,0,0
248,20/09/2023 , 04:40:00,0,0
249,20/09/2023 , 04:45:00,0,0
250,20/09/2023 , 04:50:00,0,0
251,20/09/2023 , 04:55:00,0,0
252,20/09/2023 , 05:00:00,0,0
253,20/09/2023 , 05:05:00,0,0
254,20/09/2023 , 05:10:00,0,0
255,20/09/2023 , 05:15:00,0,0
256,20/09/2023 , 05:20:00,0,0
257,20/09/2023 , 05:25:00,0,0
258,20/09/2023 , 05:30:00,0,0
259,20/09/2023 , 05:35:00,0,0
260,20/09/2023 , 05:40:00,0,0
261,20/09/2023 , 05:45:00,0,0
262,20/09/2023 , 05:50:00,0,0
263,20/09/2023 , 05:55:00,0,0
264,20/09/2023 , 06:00:00,0,0
265,20/09/2023 , 06:05:00,0,0
266,20/09/2023 , 06:10:00,0,0
267,20/09/2023 , 06:15:00,0,0
268,20/09/2023 , 06:20:00,0,0
269,20/09/2023 , 06:25:00,0,0
270,20/09/2023 , 06:30:00,0,0
271,20/09/2023 , 06:35:00,0,0
272,20/09/2023 , 06:40:00,0,0
273,20/09/2023 , 06:45:00,0,0
274,20/09/2023 , 06:50:00,0,0
275,20/09/2023 , 06:55:00,0,0
276,20/09/2023 , 07:00:00,0,0
277,20/09/2023 , 07:05:00,0,0
278,20/09/2023 , 07:10:00,0,0
279,20/09/2023 , 07:15:00,0,0
280,20/09/2023 , 07:20:00,0,0
281,20/09/2023 , 07:25:00,0,0
282,20/09/2023 , 07:30:00,0,0
283,20/09/2023 , 07:35:00,0,0
284,20/09/2023 , 07:40:00,0,0
285,20/09/2023 , 07:45:00,0,0
286,20/09/2023 , 07:50:00,0,0
287,20/09/2023 , 07:55:00,0,0
288,20/09/2023 , 08:00:00,0,0
289,20/09/2023 , 08:05:00,0,0
290,20/09/2023 , 08:10:00,0,0
291,20/09/2023 , 08:15:00,0,0
292,20/09/2023 , 08:20:00,0,0
293,20/09/2023 , 08:25:00,0,0
294,20/09/2023 , 08:30:00,0,0
295,20/09/2023 , 08:35:00,0,0
296,20/09/2023 , 08:40:00,0,0
297,20/09/2023 , 08:45:00,0,0
298,20/09/2023 , 08:50:00,0,0
299,20/09/2023 , 08:55:00,0,0
300,20/09/2023 , 09:00:00,0,0
301,20/09/2023 , 09:05:00,0,0
302,20/09/2023 , 09:10:00,0,0
303,20/09/2023 , 09:15:00,0,0
304,20/09/2023 , 09:20:00,0,0
305,20/09/2023 , 09:25:00,0,0
306,20/09/2023 , 09:30:00,0,0
307,20/09/2023 , 09:35:00,0,0
308,20/09/2023 , 09:40:00,0,0
309,20/09/2023 , 09:45:00,0,0
310,20/09/2023 , 09:50:00,0,0
311,20/09/2023 , 09:55:00,0,0
312,20/09/2023 , 10:00:00,0,0
313,20/09/2023 , 10:05:00,0,0
314,20/09/2023 , 10:10:00,0,0
315,20/09/2023 , 10:15:00,0,0
316,20/09/2023 , 10:20:00,0,0
317,20/09/2023 , 10:25:00,0,0
318,20/09/2023 , 10:30:00,0,0
319,20/09/2023 , 10:35:00,0,0
320,20/09/2023 , 10:40:00,0,0
321,20/09/2023 , 10:45:00,0,0
322,20/09/2023 , 10:50:00,0,0
323,20/09/2023 , 10:55:00,0,0
324,20/09/2023 , 11:00:00,0,0
325,20/09/2023 , 11:05:00,0,0
326,20/09/2023 , 11:10:00,0,0
327,20/09/2023 , 11:15:00,0,0
328,20/09/2023 , 11:20:00,0,0
329,20/09/2023 , 11:25:00,0,0
330,20/09/2023 , 11:30:00,0,0
331,20/09/2023 , 11:35:00,0,0
332,20/09/2023 , 11:40:00,0,0
333,20/09/2023 , 11:45:00,0,0
334,20/09/2023 , 11:50:00,0,0
335,20/09/2023 , 11:55:00,0,0
336,20/09/2023 , 12:00:00,0,0
337,20/09/2023 , 12:05:00,0,0
338,20/09/2023 , 12:10:00,0,0
339,20/09/2023 , 12:15:00,0,0
340,20/09/2023 , 12:20:00,0,0
341,20/09/2023 , 12:25:00,0,0
342,20/09/2023 , 12:30:00,0,0
343,20/09/2023 , 12:35:00,0,0
344,20/09/2023 , 12:40:00,0,0
345,20/09/2023 , 12:45:00,0,0
346,20/09/2023 , 12:50:00,0,0
347,20/09/2023 , 12:55:00,0,0
348,20/09/2023 , 13:00:00,0,0
349,20/09/2023 , 13:05:00,0,0
350,20/09/2023 , 13:10:00,0,0
351,20/09/2023 , 13:15:00,0,0
352,20/09/2023 , 13:20:00,0,0
353,20/09/2023 , 13:25:00,0,0
354,20/09/2023 , 13:30:00,0,0
355,20/09/2023 , 13:35:00,0,0
356,20/09/2023 , 13:40:00,0,0
357,20/09/2023 , 13:45:00,0,0
358,20/09/2023 , 13:50:00,0,0
359,20/09/2023 , 13:55:00,0,0
360,20/09/2023 , 14:00:00,0,0
361,20/09/2023 , 14:05:00,0,0
362,20/09/2023 , 14:10:00,0,0
363,20/09/2023 , 14:15:00,0,0
364,20/09/2023 , 14:20:00,0,0
365,20/09/2023 , 14:25:00,4,0.3
366,20/09/2023 , 14:30:00,3,0.2
367,20/09/2023 , 14:35:00,8,0.6
368,20/09/2023 , 14:40:00,17,1.2
369,20/09/2023 , 14:45:00,15,1.1
370,20/09/2023 , 14:50:00,16,1.1
371,20/09/2023 , 14:55:00,9,0.6
