Date / Time;24/05/2023 12:05;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;26.4;NaN;0;20.9;NaN;NaN
1.5;151.5;NaN;56;20.3;1.5;125.1
1.525;157.5;NaN;295;19.1;0.025;6
1.55;167.7;NaN;339;19;0.025;10.2
1.575;175.9;NaN;368;18.9;0.025;8.2
1.6;183.2;266.82;405;18.9;0.025;7.3
1.625;189.4;235.03;433;18.8;0.025;6.2
1.65;194.3;188.25;459;18.8;0.025;4.9
1.675;198.7;162.02;481;18.8;0.025;4.4
1.7;202.5;140.37;498;18.8;0.025;3.8
1.725;205.7;124.15;518;18.8;0.025;3.2
1.75;208.8;111.65;540;18.7;0.025;3.1
1.775;211.4;100;557;18.7;0.025;2.6
1.8;213.8;91.35;576;18.7;0.025;2.4
1.825;215.9;83.4;591;18.7;0.025;2.1
1.85;218;76.35;606;18.7;0.025;2.1
1.875;219.8;71.7;621;18.7;0.025;1.8
1.9;221.6;NaN;636;18.7;0.025;1.8
1.925;223.1;NaN;651;18.7;0.025;1.5
1.95;224.7;NaN;666;18.7;0.025;1.6
1.975;226.2;NaN;682;18.7;0.025;1.5
2;227.5;NaN;697;18.7;0.025;1.3
